nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
42,0.09258852,-1.1767868,-2.310132,0.9985612,1.7376426,1.5479296
42,-0.19507737,-0.14009084,-2.5755587,19.36762,1.7376426,-0.52485037
8,1.5337676,-0.14487971,1.2405784,-0.33219725,-1.2288481,-1.5373143
38,0.0064363265,1.1535048,-2.4819016,5.491809,-0.67951983,2.1276536
38,0.58029234,1.9310272,-2.3050199,0.68710375,-0.67951983,2.045211
38,2.1485372,0.89433116,-1.7445425,0.09527808,-0.67951983,-1.2677298
38,3.7329133,1.1535048,-1.8124748,0.50450647,-0.67951983,0.9069256
67,0.07360756,1.6956687,-1.7572418,0.33933938,4.013791,1.6307057
67,-0.19507737,1.436495,-2.5479438,7.342939,4.013791,0.47030815
47,6.585858,-1.6741188,1.5232749,-0.33374146,-1.0027838,-0.29470375
4,4.625018,-0.37732965,-2.4899411,5.999411,0.007885517,2.4883494
63,0.6182543,2.208608,0.2926199,-0.35790375,-1.2614621,-1.288873
63,-0.04175395,2.208608,-1.5313784,-0.29901078,-1.2614621,-1.371747
27,12.169415,0.9086416,1.6338067,-0.31903726,-0.34268218,-1.4333116
18,-0.19507737,-1.1741569,-2.5622396,7.2021465,2.763991,-1.3729944
25,0.6562162,-1.4196956,-2.5540142,4.9965243,-0.81762385,-1.5333798
18,-0.19507737,0.63515747,-2.5755587,19.36762,-0.3057092,-1.4773449
47,0.8986433,-1.4191148,-2.5218017,9.576849,-0.029917818,2.70981
47,3.9037418,-1.1599411,-2.4987738,6.9099097,-0.029917818,2.7359512
47,-0.23303929,-0.9007668,-2.5770044,47.093025,-0.029917818,-1.1468176
8,19.898075,-1.1741415,1.5307158,-0.31842664,-0.75347024,-1.0602255
66,0.79641074,1.9485983,-1.8313717,0.09753411,-0.5717509,2.16925
66,0.50436854,1.9485983,-2.4948218,3.547825,-0.5717509,2.3978202
66,-0.19507737,1.6894239,-2.5755587,19.36762,-0.5717509,0.42764413
18,-0.09432052,-0.6391146,-2.5620139,15.237921,-0.65556914,-1.496656
49,9.05496,0.41209745,1.8844008,-0.30099744,0.2736446,2.4179127
49,17.553137,0.41209745,1.5550956,-0.26649383,0.2736446,1.1345376
49,14.664878,-0.1062499,1.9194272,-0.28694865,0.2736446,1.7348329
49,19.19578,-0.1062499,1.4877608,-0.31095856,0.2736446,1.1967404
4,0.15975976,-1.4071043,-2.5755587,19.383219,0.27317658,2.294992
67,1.6360512,3.507668,-0.33965155,-0.19651169,-0.6759783,1.4030592
67,2.7954674,3.507668,0.26262045,-0.24107401,-0.6759783,2.5005429
67,2.7954674,3.507668,0.20533131,-0.23533885,-0.6759783,2.3348987
67,0.52334946,1.9526247,-2.5357757,4.3285565,-0.6759783,1.8395808
35,5.547706,-1.6829933,-2.3214371,0.78934795,-0.77552503,-1.3471355
47,6.6048384,-0.3720866,1.9387085,-0.25814363,2.0717452,1.8173213
55,0.0590029,-0.90147924,-2.5296423,6.6221333,3.435798,1.7344108
55,0.2605166,-1.4198272,-2.5305803,6.2862487,3.435798,1.8178427
55,0.8986433,-0.90147924,-2.4723637,4.6076427,3.435798,2.2325652
47,2.1938777,-0.9026323,-1.3671584,0.17146194,-0.03417219,2.6042295
35,1.2052902,-0.38396177,-2.4987738,6.8875437,-0.13007317,2.6684246
35,-0.32794407,-0.12478808,-2.5770044,47.08823,-0.13007317,-1.1065649
