nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
14,-0.19507737,0.9158057,0.6271286,-0.26678085,10.058617,0.38829333
14,-0.19507737,1.1749793,0.26443335,-0.30188373,10.058617,-0.56420267
14,-0.19507737,0.9158057,1.0544945,-0.27965185,10.058617,-0.978328
14,-0.19507737,-0.12089025,-1.7841631,-0.09916334,10.058617,0.8230934
14,-0.19507737,-0.12089025,0.11459911,-0.30442366,10.058617,0.9473642
14,-0.19507737,1.1749793,-0.89004254,-0.24376346,10.058617,-0.52279836
14,-0.19507737,-0.12089025,-0.04955527,-0.29860327,10.058617,0.7610056
14,-0.19507737,0.13828404,0.6601165,-0.2829973,10.058617,0.056991104
14,-0.19507737,0.9158057,0.56284654,-0.26371634,10.058617,1.0716044
14,-0.19507737,0.13828404,0.2156516,-0.26635066,10.058617,-1.1646885
14,-0.19507737,0.13828404,0.790572,-0.2879156,10.058617,0.077697985
14,-0.19507737,0.9158057,-1.9821157,0.2723703,10.058617,-0.5642507
14,-0.19507737,-0.12089025,-0.3212916,-0.2892814,10.058617,-0.6056184
14,0.3466688,-0.8984119,1.3822781,-0.2614151,10.058617,-0.874769
14,-0.19507737,0.13828404,-2.5755587,19.36762,10.058617,-0.54555684
14,-0.19507737,1.1749793,0.1653014,-0.29822364,10.058617,-0.06724948
14,-0.19507737,1.1749793,0.48935044,-0.3100478,10.058617,-0.2536054
14,-0.12790614,-0.12089025,0.13594498,-0.305385,10.058617,1.5478545
14,-0.008168333,-0.12089025,-0.31903553,-0.28712246,10.058617,1.3615052
14,-0.19507737,-0.12089025,0.9978344,-0.32630324,10.058617,0.80242276
14,0.17874071,0.9158057,0.8200463,-0.27401412,10.058617,2.3140101
14,-0.19507737,0.9158057,0.6495518,-0.26617977,10.058617,0.9059534
14,-0.19507737,0.13828404,0.87965834,-0.2893051,10.058617,-1.4545757
14,-0.19507737,-0.12089025,0.27116182,-0.30866814,10.058617,1.361493
14,-0.19507737,0.9158057,0.24952242,-0.24978365,10.058617,0.61606234
59,-0.19507737,0.9142677,-2.5755587,19.36762,0.546074,-0.95968485
26,-0.19507737,-0.36721554,-0.058032393,-0.2910409,9.358322,-1.0197451
26,-0.19507737,-0.10804125,0.10812105,-0.2330553,9.358322,-0.17078172
26,-0.027149292,-0.36721554,1.3780863,-0.33385736,9.358322,-0.9990253
26,-0.19507737,-0.10804125,0.07610968,-0.22846459,9.358322,0.49182287
26,-0.19507737,-0.10804125,-0.37331778,-0.20043787,9.358322,0.28475636
26,-0.19507737,-0.10804125,-1.8914037,0.20596913,9.358322,-0.56424147
