_url,name,birth_year,weight,height,nationality
enrico-barbin,Enrico  Barbin,1990.0,60.0,166.0,Italy
alain-van-den-bossche,Alain Van Den Bossche,1965.0,60.42003905915077,175.13494889171324,Belgium
mario-de-sarraga,Mario de Sárraga,1980.0,69.0,180.06649836396085,Spain
hubert-arbes,Hubert  Arbès,1950.0,63.240177782365414,180.43045294065755,France
kevin-seeldraeyers,Kevin  Seeldraeyers,1986.0,60.0,174.0,Belgium
peter-van-de-knoop,Peter Van De Knoop,1957.0,75.32789276062998,188.96462036430958,Netherlands
daniele-righi,Daniele  Righi,1976.0,70.0,180.0,Italy
felix-gall,Felix  Gall,1998.0,66.0,180.0,Austria
jordi-meeus,Jordi  Meeus,1998.0,80.0,190.0,Belgium
louis-de-koning,Louis de Koning,1967.0,74.70777544187337,190.2359380447833,Netherlands
harm-ottenbros,Harm  Ottenbros,1943.0,54.254737427145955,167.5223389229998,Netherlands
stephan-joho,Stephan  Joho,1963.0,60.990305464387,167.09387915861734,Switzerland
andre-carvalho,Andre  Carvalho,1997.0,66.0,181.0,Portugal
luis-ricardo-mesa-saavedra,Luis Ricardo  Mesa,1973.0,56.17381954462927,172.20173901770937,Colombia
joseba-lopez-cuesta,Joseba  López,2000.0,66.0,182.0,Spain
marco-villa,Marco  Villa,1969.0,72.87862157835335,176.82218915214358,Italy
jacques-jolidon,Jacques  Jolidon,1969.0,66.17525918032476,179.94297530847984,Switzerland
dirk-wayenberg,Dirk  Wayenberg,1955.0,66.94778044114975,178.1788241414936,Belgium
emils-liepins,Emīls  Liepiņš,1992.0,67.0,175.0,Latvia
jose-salvador-sanchis,José Salvador  Sanchis,1963.0,73.70289007243566,185.30350796023293,Spain
giulio-tomi,Giulio  Tomi,1978.0,66.52547827586402,177.55227954475424,Italy
vladimir-karpets,Vladimir  Karpets,1980.0,79.0,190.0,Russia
tom-wirtgen,Tom  Wirtgen,1996.0,77.0,190.0,Luxembourg
eric-berthou,Eric  Berthou,1980.0,72.0,187.0,France
martin-emilio-rodriguez,Martín Emilio  Rodríguez,1942.0,70.0,178.0,Colombia
claudio-cerri,Claudio  Cerri,1960.0,68.48363860791574,184.07669044147568,Italy
benoit-joachim,Benoît  Joachim,1976.0,82.0,188.0,Luxembourg
salvatore-scamardella,Salvatore  Scamardella,1979.0,72.80005792258696,170.99482793360002,Italy
florian-guillou,Florian  Guillou,1982.0,71.0,195.0,France
david-munoz,David  Muñoz,1979.0,64.4418906782983,177.5484930307772,Spain
jos-de-schoenmaecker,Jos De Schoenmaecker,1947.0,67.99393218591786,187.0909675304493,Belgium
andre-dierickx,André  Dierickx,1947.0,74.0,180.0,Belgium
claude-criquielion,Claude  Criquielion,1957.0,64.19166044501286,174.30708098881072,Belgium
stef-clement,Stef  Clement,1982.0,66.0,181.0,Netherlands
gosta-pettersson,Gösta  Pettersson,1940.0,75.0,189.0,Sweden
silvano-lorenzon,Silvano  Lorenzon,1964.0,71.76182074466959,185.05274754289437,Italy
koen-beeckman,Koen  Beeckman,1973.0,66.0,177.0,Belgium
roberto-torres,Roberto  Torres,1964.0,67.56363519539325,176.69973721574286,Spain
darren-lill,Darren  Lill,1982.0,74.99062385526267,183.97761439682125,South Africa
claudio-camin,Claudio  Camin,1970.0,70.34451143111833,179.69887372408408,Italy
kurt-verleden,Kurt  Verleden,1963.0,79.2527488801647,191.44787430603472,Belgium
daniel-musiol,Daniel  Musiol,1983.0,70.0,182.0,Germany
michel-lafis,Michel  Lafis,1967.0,78.0,185.0,Sweden
hugo-page,Hugo  Page,2001.0,71.0,185.0,France
axel-mariault,Axel  Mariault,1998.0,58.0,169.0,France
maurizio-vandelli,Maurizio  Vandelli,1964.0,68.7709682725824,180.6568662291215,Italy
maciej-bodnar,Maciej  Bodnar,1985.0,77.0,186.0,Poland
yecid-sierra,Yecid Arturo  Sierra,1994.0,66.0,184.0,Colombia
edgar-humberto-ruiz,Edgar-humberto  Ruiz,1971.0,75.793527079444,182.68253014966353,Colombia
laurens-de-vreese,Laurens De Vreese,1988.0,78.0,190.0,Belgium
harald-maier,Harald  Maier,1960.0,75.17319585128939,188.16557581511987,Austria
marco-brenner,Marco  Brenner,2002.0,59.0,181.0,Germany
tony-martin,Tony  Martin,1985.0,75.0,185.0,Germany
jakub-kaczmarek,Jakub  Kaczmarek,1993.0,66.0,181.0,Poland
filippo-zana,Filippo  Zana,1999.0,65.0,185.0,Italy
miguel-angel-pena,Miguel Ángel  Peña,1970.0,73.50190256872604,187.11494177517582,Spain
robert-alban,Robert  Alban,1952.0,62.31558483886735,179.5872857639167,France
matteo-bono,Matteo  Bono,1983.0,60.0,171.0,Italy
antonio-coll,Antonio  Coll,1959.0,73.22915188887737,190.17433613401013,Spain
manuel-mesa,José Manuel  Mesa,1944.0,75.46250436486322,188.38772091032533,Spain
igor-anton,Igor  Antón,1983.0,64.0,173.0,Spain
raymond-kreder,Raymond  Kreder,1989.0,70.0,177.0,Netherlands
pierre-gautherat,Pierre  Gautherat,2003.0,70.0,177.0,France
cees-jeurissen,Cees  Jeurissen,1976.0,78.03965408203541,179.85130364429662,Netherlands
anthony-roux,Anthony  Roux,1987.0,73.0,188.0,France
willy-in-t-ven,Willy In 't Ven,1943.0,70.01391869283653,185.3040433872175,Belgium
dmitry-nelyubin,Dmitry  Nelyubin,1971.0,67.69870180309356,182.81351814650745,Russia
sebastian-schonberger,Sebastian  Schönberger,1994.0,64.0,181.0,Austria
ennio-salvador,Ennio  Salvador,1960.0,77.5337725252358,184.47173107104427,Italy
