points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
40.0,28.0,15500.0,316.0,1.0,1557,4,33.0,22.0,0
0.0,0.0,163500.0,2145.0,2.0,616,56,48.0,157.0,1
0.0,0.0,182000.0,2631.0,3.0,708,33,29.0,92.0,1
0.0,0.0,166600.0,2680.0,5.0,1128,176,41.0,1133.0,1
0.0,-0.0,182000.0,3574.0,4.0,523,19,-12.0,73.0,0
0.0,0.0,207500.0,1509.0,1.0,1703,91,34.0,0.0,1
0.0,-0.0,4900.0,243.0,2.0,893,121,22.0,38.0,1
0.0,0.0,41500.0,499.0,1.0,1703,58,27.0,305.0,1
22.0,7.0,256000.0,2500.0,1.0,1470,7,0.0,0.0,0
0.0,0.0,208000.0,4199.0,5.0,1123,130,54.0,1154.0,1
70.0,10.0,208000.0,3975.0,2.0,1713,2,25.0,5.0,0
0.0,-0.0,9400.0,84.0,1.0,1872,89,-1.0,51.0,1
0.0,0.0,202000.0,3748.0,4.0,1034,111,19.0,1427.0,1
22.0,0.0,137500.0,805.0,1.0,1612,7,30.0,0.0,0
0.0,0.0,159000.0,1235.0,2.0,920,149,34.0,781.0,1
0.0,0.0,157000.0,3574.0,5.0,1036,36,51.0,341.0,1
0.0,0.0,163500.0,2826.0,2.0,1036,78,63.0,222.0,1
0.0,0.0,121000.0,219.0,1.0,920,52,5.0,0.0,1
0.0,0.0,13890.0,318.0,3.0,936,111,39.0,111.0,1
0.0,0.0,211000.0,2323.0,2.0,929,68,36.0,269.0,1
0.0,-0.0,130200.0,1330.0,2.0,1084,123,39.0,1085.0,1
0.0,8.0,156600.0,3260.0,4.0,873,113,48.0,1168.0,1
0.0,0.0,207000.0,5848.0,4.0,765,110,24.0,3058.0,1
0.0,0.0,163100.0,2243.0,2.0,668,84,32.0,61.0,1
0.0,0.0,122200.0,2853.0,5.0,824,92,36.0,1076.0,1
15.0,10.0,262700.0,2492.0,2.0,1307,39,43.0,311.0,1
0.0,0.0,251000.0,3470.0,3.0,1188,87,41.0,201.0,1
0.0,0.0,168500.0,4411.0,4.0,1690,168,43.0,1580.0,1
0.0,0.0,7100.0,87.0,2.0,1023,102,35.0,44.0,1
0.0,0.0,201000.0,1546.0,2.0,920,118,30.0,0.0,1
0.0,0.0,187500.0,3591.0,4.0,1791,69,53.0,808.0,1
0.0,0.0,36500.0,1988.0,5.0,1812,99,13.0,676.0,1
0.0,0.0,230800.0,4448.0,2.0,692,23,34.0,0.0,1
0.0,-0.0,167300.0,2224.0,3.0,1101,132,28.0,160.0,1
0.0,-0.0,38900.0,201.0,1.0,960,116,20.0,367.0,1
3.0,0.0,158500.0,2616.0,2.0,821,13,47.0,0.0,0
0.0,-0.0,7200.0,78.0,1.0,1731,25,7.0,42.0,1
30.0,25.0,181500.0,4332.0,5.0,1099,2,25.0,6.0,0
0.0,0.0,168500.0,4411.0,4.0,1690,46,67.0,698.0,1
0.0,-0.0,196500.0,1014.0,1.0,1557,79,30.0,7.0,1
7.0,1.0,171000.0,1596.0,1.0,1210,6,14.0,0.0,0
0.0,-0.0,187500.0,6000.0,5.0,1941,48,5.0,1307.0,1
0.0,0.0,196000.0,2314.0,5.0,838,157,31.0,2037.0,1
0.0,0.0,205000.0,4776.0,4.0,866,90,4.0,1254.0,1
50.0,25.0,214000.0,2438.0,2.0,923,2,24.0,7.0,0
0.0,0.0,226000.0,3399.0,4.0,1703,49,29.0,511.0,1
0.0,-0.0,199500.0,1215.0,1.0,1804,76,-6.0,292.0,1
1.0,0.0,184500.0,4500.0,4.0,1688,15,35.0,66.0,0
10.0,0.0,180000.0,3127.0,2.0,973,5,48.0,13.0,0
0.0,0.0,117000.0,1940.0,3.0,951,17,2.0,22.0,0
0.0,0.0,151000.0,2094.0,2.0,891,33,38.0,364.0,1
0.0,1.0,258000.0,3625.0,3.0,747,32,-9.0,383.0,1
0.0,0.0,206000.0,2016.0,2.0,923,30,46.0,0.0,1
0.0,-0.0,175000.0,1965.0,1.0,1731,85,2.0,29.0,1
0.0,0.0,219000.0,1820.0,2.0,1941,164,-13.0,174.0,1
0.0,0.0,117800.0,1756.0,2.0,722,119,56.0,0.0,1
0.0,0.0,178400.0,1759.0,2.0,960,134,18.0,531.0,1
0.0,-0.0,207500.0,3659.0,5.0,1557,128,32.0,1092.0,1
0.0,0.0,196900.0,4335.0,5.0,1017,28,22.0,163.0,1
0.0,0.0,171000.0,1947.0,2.0,997,171,33.0,1034.0,1
0.0,-0.0,181000.0,4197.0,5.0,1535,110,49.0,1960.0,1
