points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,159800.0,1723.0,1.0,1182,13,41.0,22.0,0
0.0,0.0,179000.0,4483.0,5.0,1584,33,39.0,708.0,1
0.0,0.0,25700.0,363.0,1.0,855,11,38.0,55.0,0
4.0,15.0,203000.0,5852.0,5.0,835,12,42.0,86.0,0
0.0,0.0,174100.0,2534.0,2.0,704,34,39.0,0.0,1
2.0,0.0,181200.0,4120.0,5.0,968,14,36.0,97.0,0
0.0,0.0,159000.0,1296.0,2.0,1059,71,54.0,0.0,1
0.0,0.0,196000.0,3020.0,2.0,835,19,50.0,51.0,0
0.0,0.0,152500.0,2319.0,3.0,968,131,47.0,853.0,1
0.0,0.0,184900.0,1216.0,1.0,1584,19,40.0,0.0,0
0.0,0.0,164500.0,3187.0,2.0,719,13,34.0,0.0,0
0.0,0.0,40700.0,434.0,3.0,1551,88,50.0,401.0,1
0.0,0.0,191100.0,2018.0,2.0,781,105,27.0,577.0,1
8.0,30.0,171000.0,2529.0,2.0,835,9,43.0,0.0,0
0.0,0.0,196500.0,2958.0,2.0,789,18,45.0,32.0,0
0.0,0.0,213600.0,2878.0,2.0,1182,12,58.0,0.0,0
18.0,30.0,254100.0,3460.0,2.0,705,17,62.0,110.0,0
0.0,0.0,161000.0,4153.0,5.0,835,109,31.0,2198.0,1
0.0,0.0,196000.0,4730.0,4.0,817,16,50.0,179.0,0
0.0,0.0,193200.0,255.0,1.0,968,100,26.0,0.0,1
0.0,0.0,138300.0,2278.0,4.0,968,106,32.0,763.0,1
0.0,0.0,123400.0,2280.0,5.0,156,84,49.0,448.0,1
0.0,0.0,9000.0,9.0,1.0,621,93,54.0,71.0,1
5.0,0.0,148400.0,2669.0,2.0,225,4,24.0,51.0,0
0.0,0.0,174000.0,1968.0,2.0,817,79,41.0,0.0,1
5.0,0.0,294000.0,2154.0,2.0,1047,161,51.0,790.0,1
5.0,0.0,138300.0,2278.0,4.0,968,11,32.0,0.0,0
15.0,20.0,183700.0,1459.0,2.0,866,20,58.0,15.0,1
0.0,0.0,25700.0,363.0,1.0,855,96,38.0,217.0,1
8.0,25.0,137800.0,2413.0,5.0,1584,11,52.0,80.0,0
10.0,0.0,192600.0,2109.0,2.0,1551,10,36.0,345.0,0
40.0,15.0,178500.0,3418.0,4.0,1551,4,31.0,72.0,0
50.0,25.0,186300.0,2556.0,3.0,1551,3,48.0,0.0,0
25.0,80.0,19600.0,171.0,1.0,835,4,33.0,40.0,0
0.0,0.0,147000.0,3167.0,2.0,817,101,22.0,1899.0,1
0.0,0.0,96700.0,773.0,1.0,968,111,38.0,123.0,1
0.0,0.0,207920.0,2625.0,2.0,741,122,49.0,0.0,1
0.0,0.0,218000.0,2503.0,3.0,1044,16,54.0,0.0,0
0.0,0.0,138600.0,2121.0,2.0,722,32,35.0,99.0,1
8.0,0.0,162300.0,2755.0,1.0,968,9,50.0,69.0,0
0.0,0.0,181000.0,2646.0,5.0,621,74,69.0,717.0,1
0.0,0.0,191800.0,2473.0,4.0,789,86,36.0,0.0,1
5.0,3.0,257200.0,4342.0,2.0,1101,56,52.0,455.0,1
0.0,0.0,138300.0,2278.0,4.0,968,18,32.0,0.0,0
10.0,0.0,176000.0,337.0,1.0,621,5,34.0,0.0,0
4.0,15.0,161000.0,4153.0,5.0,835,12,69.0,160.0,0
0.0,0.0,171200.0,1688.0,3.0,722,12,35.0,0.0,0
0.0,0.0,196500.0,2958.0,2.0,789,135,28.0,307.0,1
0.0,0.0,213000.0,1777.0,2.0,835,50,30.0,0.0,1
10.0,0.0,168400.0,1766.0,1.0,968,8,30.0,0.0,0
275.0,800.0,273400.0,2185.0,2.0,918,1,53.0,0.0,0
0.0,0.0,172800.0,1934.0,2.0,1584,107,35.0,1005.0,1
12.0,40.0,183000.0,5423.0,5.0,835,7,56.0,129.0,0
0.0,0.0,148400.0,2669.0,2.0,225,60,24.0,968.0,1
2.0,5.0,210000.0,1592.0,2.0,1044,9,54.0,0.0,0
13.0,0.0,31900.0,96.0,1.0,789,4,32.0,39.0,0
0.0,0.0,169400.0,1405.0,2.0,981,46,51.0,6.0,1
0.0,0.0,165400.0,3291.0,5.0,704,124,36.0,910.0,1
0.0,0.0,169000.0,2707.0,5.0,789,12,38.0,0.0,0
0.0,0.0,156000.0,1219.0,2.0,817,73,38.0,177.0,1
6.0,0.0,175100.0,518.0,1.0,968,10,37.0,0.0,0
0.0,0.0,215000.0,3817.0,5.0,1059,11,57.0,143.0,0
0.0,0.0,198000.0,2746.0,2.0,767,84,52.0,134.0,1
0.0,0.0,164500.0,3187.0,2.0,719,54,34.0,215.0,1
0.0,0.0,184000.0,1303.0,1.0,621,85,39.0,0.0,1
10.0,0.0,168000.0,4718.0,5.0,817,8,59.0,199.0,0
