Unnamed: 0,points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
461988,0.0,0.0,180000.0,388.0,1.0,621.0,30.0,9970.0,1.0
309112,0.0,0.0,171500.0,1785.0,1.0,1551.0,32.0,10885.0,1.0
559958,0.0,0.0,159000.0,1296.0,2.0,1059.0,37.0,11441.0,1.0
660,0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
350851,0.0,0.0,5120.0,39.0,1.0,508.0,24.0,391.0,1.0
362063,0.0,0.0,191100.0,2018.0,2.0,781.0,26.0,143.0,1.0
439513,0.0,0.0,198000.0,2746.0,2.0,767.0,37.0,8982.0,1.0
305131,0.0,0.0,186300.0,2556.0,3.0,1551.0,39.0,342.0,1.0
547554,5.0,8.0,202100.0,3160.0,3.0,971.0,35.0,16895.0,1.0
537144,0.0,0.0,152500.0,2795.0,4.0,855.0,32.0,1032.0,1.0
105802,0.0,0.0,191000.0,5080.0,5.0,817.0,29.0,2641.0,1.0
382170,0.0,0.0,180600.0,3998.0,5.0,704.0,28.0,1513.0,1.0
535070,0.0,0.0,176600.0,2644.0,5.0,704.0,29.0,220.0,1.0
353106,0.0,0.0,168800.0,3120.0,2.0,1584.0,27.0,685.0,1.0
382621,0.0,0.0,176000.0,337.0,1.0,621.0,32.0,113.0,1.0
224702,0.0,0.0,185000.0,2741.0,5.0,530.0,26.0,1181.0,1.0
221933,10.0,15.0,165400.0,3291.0,5.0,704.0,31.0,9657.0,0.0
335690,0.0,0.0,137800.0,3472.0,4.0,719.0,37.0,243.0,1.0
554427,0.0,0.0,143800.0,2617.0,5.0,855.0,34.0,873.0,1.0
554579,0.0,0.0,206300.0,2478.0,2.0,722.0,26.0,7525.0,1.0
145629,5.0,0.0,293000.0,2096.0,2.0,938.0,24.0,326.0,1.0
232021,0.0,0.0,142900.0,3554.0,5.0,981.0,30.0,1733.0,1.0
300186,0.0,0.0,164700.0,2470.0,5.0,981.0,27.0,1284.0,1.0
295098,0.0,0.0,181700.0,3278.0,2.0,741.0,28.0,1149.0,1.0
104099,22.0,20.0,183700.0,1459.0,2.0,866.0,34.0,14765.0,0.0
461964,0.0,0.0,180000.0,388.0,1.0,621.0,24.0,11083.0,1.0
315723,0.0,0.0,12700.0,76.0,1.0,855.0,30.0,370.0,1.0
231446,0.0,0.0,181000.0,3977.0,4.0,968.0,28.0,154.0,0.0
295025,0.0,0.0,181700.0,3278.0,2.0,741.0,28.0,145.0,1.0
138288,0.0,0.0,96700.0,773.0,1.0,968.0,33.0,7033.0,1.0
496251,18.0,4.0,190000.0,3359.0,2.0,968.0,24.0,13727.0,0.0
385268,10.0,30.0,208900.0,2949.0,2.0,1584.0,27.0,13730.0,0.0
142089,0.0,0.0,11500.0,3.0,1.0,1044.0,27.0,592.0,0.0
496563,0.0,0.0,171400.0,3675.0,5.0,968.0,27.0,1417.0,1.0
58909,17.0,30.0,256600.00000000003,1380.0,1.0,775.0,31.0,336.0,1.0
276320,0.0,0.0,159800.0,1723.0,1.0,1182.0,23.0,10914.0,1.0
222279,90.0,220.0,224800.0,4147.0,2.0,724.0,36.0,191.0,0.0
275756,0.0,0.0,168400.0,1766.0,1.0,968.0,31.0,195.0,1.0
441870,0.0,0.0,138800.0,3782.0,5.0,789.0,27.0,1131.0,1.0
115565,0.0,0.0,15800.0,208.0,1.0,225.0,21.0,149.0,1.0
234035,0.0,0.0,187200.0,2978.0,2.0,968.0,31.0,1007.0,1.0
382563,0.0,0.0,176000.0,337.0,1.0,621.0,27.0,11996.0,1.0
51439,0.0,0.0,177600.0,2746.0,2.0,767.0,31.0,1041.0,1.0
90523,0.0,0.0,13200.0,21.0,1.0,1551.0,24.0,286.0,1.0
233929,0.0,0.0,187200.0,2978.0,2.0,968.0,42.0,309.0,1.0
294743,0.0,0.0,182400.0,3441.0,5.0,1584.0,36.0,1623.0,1.0
138321,0.0,0.0,96700.0,773.0,1.0,968.0,36.0,123.0,1.0
325954,0.0,0.0,151700.0,4070.0,5.0,1551.0,29.0,1739.0,1.0
282991,7.0,0.0,177500.0,4155.0,5.0,767.0,30.0,93.0,0.0
233761,0.0,0.0,179300.0,1873.0,2.0,1584.0,32.0,11862.0,1.0
337374,0.0,0.0,193200.0,255.0,1.0,968.0,30.0,12419.0,1.0
541623,0.0,0.0,162000.0,2581.0,2.0,835.0,33.0,5381.0,1.0
571474,5.0,5.0,207300.0,1616.0,2.0,677.0,23.0,166.0,1.0
233909,0.0,0.0,187200.0,2978.0,2.0,968.0,25.0,309.0,1.0
107738,0.0,0.0,170000.0,2063.0,2.0,1059.0,36.0,8106.0,1.0
510477,0.0,0.0,161600.0,4308.0,5.0,539.0,25.0,157.0,1.0
532469,0.0,0.0,212400.0,1958.0,1.0,981.0,32.0,11743.0,1.0
294716,0.0,0.0,182400.0,3441.0,5.0,1584.0,30.0,1300.0,1.0
87070,0.0,0.0,191800.0,2473.0,4.0,789.0,31.0,5074.0,1.0
130833,5.0,0.0,203900.0,2010.0,2.0,640.0,28.0,748.0,1.0
261087,0.0,0.0,167200.0,3151.0,2.0,1584.0,34.0,1503.0,1.0
15766,70.0,175.0,254100.0,3460.0,2.0,705.0,27.0,21659.0,0.0
114564,0.0,0.0,156000.0,1219.0,2.0,817.0,24.0,451.0,1.0
105833,0.0,0.0,191000.0,5080.0,5.0,817.0,27.0,2698.0,1.0
496991,0.0,0.0,22400.0,636.0,5.0,1584.0,29.0,456.0,1.0
283139,5.0,5.0,273400.0,2185.0,2.0,918.0,27.0,683.0,1.0
547580,5.0,0.0,202100.0,3160.0,3.0,971.0,35.0,93.0,1.0
15049,0.0,0.0,155000.0,2402.0,3.0,1059.0,27.0,7756.0,1.0
145593,5.0,10.0,293000.0,2096.0,2.0,938.0,25.0,74.0,1.0
554584,0.0,0.0,206300.0,2478.0,2.0,722.0,26.0,7185.0,1.0
273671,0.0,0.0,15840.0,884.0,5.0,508.0,24.0,642.0,1.0
222092,0.0,0.0,165400.0,3291.0,5.0,704.0,21.0,1419.0,1.0
337565,0.0,0.0,174000.0,304.0,1.0,530.0,32.0,8662.0,1.0
149134,0.0,0.0,173700.0,1893.0,2.0,855.0,26.0,10064.0,1.0
248973,0.0,0.0,176300.0,2526.0,5.0,1551.0,24.0,1374.0,1.0
406411,0.0,0.0,185000.0,2348.0,2.0,835.0,33.0,948.0,1.0
510487,0.0,0.0,161600.0,4308.0,5.0,539.0,20.0,276.0,1.0
