points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,191100.0,2018.0,2.0,781,76,54.0,488.0,1
10.0,0.0,161100.0,3394.0,5.0,722,5,42.0,6.0,0
5.0,0.0,256600.00000000003,1380.0,1.0,775,113,44.0,1215.0,1
0.0,0.0,168800.0,3120.0,2.0,1584,98,46.0,1260.0,1
0.0,0.0,171400.0,3675.0,5.0,968,96,30.0,946.0,1
0.0,0.0,129700.0,3364.0,5.0,1551,136,32.0,1959.0,1
0.0,0.0,169900.0,808.0,1.0,1584,123,28.0,123.0,1
0.0,0.0,219000.0,2430.0,2.0,835,97,45.0,0.0,1
0.0,0.0,196500.0,2958.0,2.0,789,45,45.0,32.0,1
0.0,0.0,202000.0,1831.0,2.0,835,64,49.0,19.0,1
0.0,0.0,176600.0,2644.0,5.0,704,137,60.0,1094.0,1
0.0,0.0,193200.0,255.0,1.0,968,118,63.0,0.0,1
0.0,0.0,196000.0,4730.0,4.0,817,74,50.0,1201.0,1
4.0,0.0,192700.0,3238.0,5.0,968,12,26.0,301.0,0
0.0,0.0,165400.0,2514.0,3.0,719,148,68.0,368.0,1
0.0,0.0,187200.0,2978.0,2.0,968,22,32.0,309.0,1
0.0,0.0,179300.0,1873.0,2.0,1584,16,33.0,0.0,0
7.0,0.0,177500.0,4155.0,5.0,767,6,52.0,93.0,0
0.0,0.0,162800.0,2799.0,3.0,719,78,32.0,737.0,1
1.0,2.0,202000.0,1831.0,2.0,835,15,49.0,0.0,0
0.0,0.0,219000.0,2144.0,2.0,1059,93,39.0,0.0,1
0.0,0.0,187200.0,2978.0,2.0,968,108,38.0,632.0,1
0.0,0.0,167200.0,3151.0,2.0,1584,31,25.0,173.0,1
42.0,60.0,253000.0,4852.0,2.0,1019,12,49.0,118.0,0
0.0,0.0,203000.0,369.0,1.0,817,77,36.0,0.0,1
0.0,0.0,219000.0,2144.0,2.0,1059,82,39.0,0.0,1
0.0,0.0,178000.0,2729.0,3.0,508,71,33.0,107.0,1
0.0,0.0,192700.0,3238.0,5.0,968,32,26.0,562.0,1
0.0,0.0,174000.0,304.0,1.0,530,91,41.0,0.0,1
0.0,0.0,183000.0,5423.0,5.0,835,50,29.0,1107.0,1
0.0,0.0,181200.0,4120.0,5.0,968,18,36.0,152.0,0
0.0,0.0,185600.0,2703.0,2.0,741,97,28.0,546.0,1
0.0,0.0,175100.0,518.0,1.0,968,118,37.0,0.0,1
0.0,0.0,195000.0,4040.0,4.0,835,83,68.0,1250.0,1
0.0,0.0,196000.0,3020.0,2.0,835,91,50.0,679.0,1
0.0,0.0,138800.0,3782.0,5.0,789,15,25.0,183.0,0
0.0,0.0,218000.0,2503.0,3.0,1044,121,54.0,1059.0,1
14.0,35.0,169900.0,808.0,1.0,1584,9,24.0,0.0,0
0.0,0.0,15840.0,884.0,5.0,508,95,70.0,351.0,1
0.0,0.0,213000.0,1777.0,2.0,835,120,34.0,547.0,1
0.0,0.0,115600.0,748.0,1.0,1551,85,63.0,53.0,1
5.0,10.0,201600.0,2508.0,3.0,866,44,51.0,48.0,1
4.0,0.0,192900.0,3743.0,3.0,1551,13,34.0,52.0,0
70.0,50.0,202500.0,2416.0,2.0,1551,2,45.0,0.0,0
0.0,0.0,161000.0,4153.0,5.0,835,121,31.0,2363.0,1
