,nationality,pca_race_points,weight_height_ratio,race_difficulty,consistency_score,position,cyclist_age
2565,52,-0.19442904786051776,-2.2428889565039882,0.18139201030871185,-0.7685272354837483,-1.3284356696574922,-0.9021946908520238
2582,61,-0.19442904786051776,-0.25316142235532313,0.18139201030871185,-0.9450071960766402,-0.9767606197590931,3.247303438260482
2625,61,-0.19442904786051776,-2.259396830918841,0.18139201030871185,-0.43118579595361195,-0.08722961119255447,-2.198912856199682
2667,61,2.4406436076925835,3.621276509679705,-1.2847629950189614,-0.402385289659239,-1.5146165784272327,1.1725543737042292
2671,61,0.3857132373252074,-1.3602999505728885,-1.2847629950189614,-0.5019400228579385,-1.4318695078629036,-1.9395692231301502
2892,52,3.454290124998161,0.4794537783394253,0.5394566020718835,-1.2012218067194955,-1.5146165784272327,-1.9395692231301502
2902,61,1.1953604653611605,-0.9587125144260392,-0.059580895142888717,-1.0436797144986727,-1.5146165784272327,-2.198912856199682
3053,35,4.404195283381462,2.2445724791072026,0.2542006657433101,-0.9409916772595994,-1.5353033460683152,1.1725543737042292
3092,61,-0.19442904786051776,-2.746223434534132,0.2542006657433101,-0.6606608307625528,-0.12860314647471907,-0.9021946908520238
3311,61,0.07885407564291617,0.3776976116723737,-1.2345011241083286,2.8098089275112326,-1.4318695078629036,-0.12416379164342892
3313,67,-0.09370092250959201,0.7143850233457132,-1.2345011241083286,2.430763755612123,-1.390495972580739,-0.9021946908520238
3319,37,-0.19442904786051776,-1.1465815466062903,-1.2345011241083286,4.430031844239472,-1.2663753667342452,-0.12416379164342892
3324,61,-0.19442904786051776,-0.4085907076805462,-1.2345011241083286,1.179419509315428,-1.1629415285288338,0.3945234744956343
3325,35,-0.19442904786051776,-1.1238209141217754,-1.2345011241083286,1.9003676698787475,-1.1422547608877516,-0.6428510577824922
3337,35,-0.19442904786051776,-2.163972123581358,-1.2345011241083286,4.24006365862527,-0.894013549194764,-0.9021946908520238
3340,55,-0.19442904786051776,1.3605098205993056,-1.2345011241083286,2.7111565763154015,-0.8319532462715171,0.1351798414261027
3344,61,-0.19442904786051776,-0.33130036746264724,-1.2345011241083286,2.6171691926432454,-0.749206175707188,1.1725543737042292
3345,63,-0.19442904786051776,1.908491865553721,-1.2345011241083286,1.0102372675981615,-0.7285194080661056,-0.12416379164342892
3369,63,-0.19442904786051776,-0.7321475555271889,-1.2345011241083286,6.931319344170759,-0.23203698468013054,-0.3835074247129605
3376,61,-0.19442904786051776,-0.33130036746264724,-1.2345011241083286,3.4938467532475403,-0.08722961119255447,-0.12416379164342892
3380,67,-0.19442904786051776,0.08697401698029085,-1.2345011241083286,5.552353305185329,-0.004482540628225297,1.950585272912824
3381,8,-0.19442904786051776,-1.3553520365805145,-1.2345011241083286,4.305382081804437,0.016204227012857,-1.4208819569910869
3391,61,-0.19442904786051776,0.41411576424556695,-1.2345011241083286,3.613009322877316,0.22307190342367994,1.6912416398432923
3415,27,-0.19442904786051776,-1.3700155640784308,-1.2345011241083286,1.0493279676808036,0.719554326809655,0.6538671075651659
3416,27,-0.19442904786051776,0.7562130320889918,-1.2345011241083286,2.9112970681437575,0.7402410944507374,-1.1615383239215553
3419,35,-0.19442904786051776,0.01686488157935531,-1.2345011241083286,3.1197878586686043,0.8023013973739842,1.1725543737042292
3435,35,-0.19442904786051776,-1.0068845290765527,-1.2345011241083286,2.6075626784937023,1.133289679631301,-1.6802255900606187
3444,3,-0.19442904786051776,0.9688353214067492,-1.2345011241083286,4.009833750667965,1.3194705884010416,-0.12416379164342892
3454,7,-0.19442904786051776,-0.8529562706793988,-1.2345011241083286,4.440524777338762,1.5263382648118646,0.9132107406346975
3471,35,-0.04099946701937214,1.039709798045325,-0.07034766239206247,-0.3146683127622894,-1.4111827402218213,2.4692725390518873
3691,14,-0.19442904786051776,1.5320249590906079,-0.2829722968308849,-0.9988479706523921,-0.27341051996229515,0.1351798414261027
3743,42,0.5438175767599823,-1.5714485873138486,-0.7040921814289394,1.7330731658978762,-1.452556275503986,-0.3835074247129605
3745,61,0.24673429898026422,-0.9154427898491135,-0.7040921814289394,2.0838881478550078,-1.4111827402218213,-0.12416379164342892
3838,4,-0.19442904786051776,-1.2287787392896556,-0.7040921814289394,0.24827891383740439,0.5126866503988321,-0.12416379164342892
3874,35,-0.19442904786051776,0.9205994332699349,-0.7040921814289394,1.6838793043766278,1.2574102854777947,-1.1615383239215553
4055,61,0.874476957604681,-1.3628081255081652,-1.075811759154625,-0.7656214903142616,-1.4732430431450683,2.7286161721214186
4057,5,0.3092116113371725,-2.023071775193632,-1.075811759154625,-0.752214361017361,-1.4318695078629036,0.1351798414261027
4058,14,0.2084834751718929,-1.411002952118072,-1.075811759154625,-0.43152059324953956,-1.4111827402218213,-1.6802255900606187
4199,61,-0.19442904786051776,1.3940810406402337,-1.075811759154625,-0.007824371582719833,1.5263382648118646,2.2099289059823555
4208,14,-0.19442904786051776,0.4601856568380017,-1.075811759154625,0.3705989241560554,1.7125191735816052,-0.9021946908520238
4212,26,-0.19442904786051776,0.9630889888356149,-1.075811759154625,2.5294120093397727,1.7952662441459344,1.4318980067737608
