nationality,pca_race_points,weight_height_ratio,race_difficulty,consistency_score,position,cyclist_age
18,-0.02654883263393511,1.790593956420077,1.9380672752324988,-0.1938816091824072,1.7538927088637697,1.6912416398432923
18,-0.02654883263393511,-0.5195241256114618,1.9380672752324988,5.218931392743709,1.7745794765048521,0.6538671075651659
47,-0.02654883263393511,-0.17293632356149552,1.9380672752324988,3.8697331186350477,1.8159530117870166,0.3945234744956343
8,-0.02654883263393511,0.4601856568380017,1.9380672752324988,-0.28626048050189573,1.8366397794280989,2.9879598051909504
4,-0.02654883263393511,1.269358933854129,1.9380672752324988,0.27170738325517885,1.8780133147102636,-1.6802255900606187
22,-0.02654883263393511,2.1662384917470674,1.9380672752324988,-0.2782763076601304,1.9400736176335105,0.9132107406346975
63,-0.02654883263393511,-1.4950878344412204,1.9380672752324988,-0.44262507347479324,1.9607603852745927,0.9132107406346975
35,-0.02654883263393511,1.0945303582609718,1.9380672752324988,2.697131284188705,2.002133920556757,0.9132107406346975
61,-0.02654883263393511,-1.3628081255081652,1.9380672752324988,-0.49000768333235184,2.043507455838922,-1.4208819569910869
26,-0.02654883263393511,0.4290633006379281,1.9380672752324988,3.664238943172986,2.1469412940443333,-1.1615383239215553
25,-0.02654883263393511,1.0854352300509231,1.9380672752324988,0.07938468998766957,2.188314829326498,2.2099289059823555
3,-0.02654883263393511,1.6067044705559608,1.9380672752324988,-0.12347438661462981,2.2296883646086627,-1.1615383239215553
63,4.595449467309441,0.3424599779977759,-1.8956566617498831,-0.5337985208738857,-1.5353033460683152,-0.9021946908520238
61,0.3041105238784673,-1.3628081255081652,0.18139201030871185,-0.7656214903142616,-1.5146165784272327,3.5066470713300135
33,4.404195283381462,1.8193267598737182,-1.2847629950189614,-0.7113826637775432,-1.5353033460683152,-1.1615383239215553
61,2.4406436076925835,3.621276509679705,-1.2847629950189614,-0.402385289659239,-1.5146165784272327,1.1725543737042292
52,-0.12727696068844932,-0.5352677993866438,-2.290353709378766,-0.8473188596342285,-1.3698092049396569,2.9879598051909504
52,3.454290124998161,0.4794537783394253,0.5394566020718835,-1.2012218067194955,-1.5146165784272327,-1.9395692231301502
61,1.1953604653611605,-0.9587125144260392,-0.059580895142888717,-1.0436797144986727,-1.5146165784272327,-2.198912856199682
35,4.404195283381462,2.2445724791072026,0.2542006657433101,-0.9409916772595994,-1.5353033460683152,1.1725543737042292
67,-0.09370092250959201,0.7143850233457132,-1.2345011241083286,2.430763755612123,-1.390495972580739,-0.9021946908520238
63,-0.19442904786051776,-0.7321475555271889,-1.2345011241083286,6.931319344170759,-0.23203698468013054,-0.3835074247129605
67,-0.19442904786051776,0.08697401698029085,-1.2345011241083286,5.552353305185329,-0.004482540628225297,1.950585272912824
8,-0.19442904786051776,-1.3553520365805145,-1.2345011241083286,4.305382081804437,0.016204227012857,-1.4208819569910869
55,-0.19442904786051776,1.2911991037771302,-1.2345011241083286,6.92805024747396,0.4919998827577498,-1.1615383239215553
3,-0.19442904786051776,0.9688353214067492,-1.2345011241083286,4.009833750667965,1.3194705884010416,-0.12416379164342892
4,-0.19442904786051776,0.44287366085454066,-1.2345011241083286,1.8171091651819513,1.4435911942475355,2.2099289059823555
7,-0.19442904786051776,-0.8529562706793988,-1.2345011241083286,4.440524777338762,1.5263382648118646,0.9132107406346975
55,-0.19442904786051776,1.039709798045325,-1.2345011241083286,7.9618619567938325,1.567711800094029,-0.3835074247129605
35,0.2803103371591215,0.4092556762968565,-0.07034766239206247,7.998824534340147,-1.4732430431450683,-1.4208819569910869
58,-0.19442904786051776,-0.3549130266304961,-0.2829722968308849,5.99568228954799,-1.1629415285288338,-2.198912856199682
42,0.5438175767599823,-1.5714485873138486,-0.7040921814289394,1.7330731658978762,-1.452556275503986,-0.3835074247129605
14,-0.19442904786051776,0.31881766328271594,-0.7040921814289394,9.941292153224545,-0.542338499296365,-0.12416379164342892
4,-0.19442904786051776,0.29611063890277506,-0.7040921814289394,5.466542760723349,-0.045856075910389885,0.9132107406346975
26,-0.19442904786051776,3.394177750931055,-0.7040921814289394,2.68014625421285,0.016204227012857,-0.6428510577824922
59,4.404195283381462,-0.2005901213358408,-1.075811759154625,-0.8155567374844471,-1.5353033460683152,-1.9395692231301502
61,0.874476957604681,-1.3628081255081652,-1.075811759154625,-0.7656214903142616,-1.4732430431450683,2.7286161721214186
