points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
0,0.0,181700.0,3278.0,2.0,741,28.0,145.0,1
0,0.0,96700.0,773.0,1.0,968,33.0,7033.0,1
18,4.0,190000.0,3359.0,2.0,968,24.0,13727.0,0
10,30.0,208900.0,2949.0,2.0,1584,27.0,13730.0,0
0,0.0,11500.0,3.0,1.0,1044,27.0,592.0,0
0,0.0,171400.0,3675.0,5.0,968,27.0,1417.0,1
17,30.0,256600.00000000003,1380.0,1.0,775,31.0,336.0,1
0,0.0,159800.0,1723.0,1.0,1182,23.0,10914.0,1
90,220.0,224800.0,4147.0,2.0,724,36.0,191.0,0
0,0.0,168400.0,1766.0,1.0,968,31.0,195.0,1
0,0.0,138800.0,3782.0,5.0,789,27.0,1131.0,1
0,0.0,15800.0,208.0,1.0,225,21.0,149.0,1
0,0.0,187200.0,2978.0,2.0,968,31.0,1007.0,1
0,0.0,176000.0,337.0,1.0,621,27.0,11996.0,1
0,0.0,177600.0,2746.0,2.0,767,31.0,1041.0,1
0,0.0,13200.0,21.0,1.0,1551,24.0,286.0,1
0,0.0,187200.0,2978.0,2.0,968,42.0,309.0,1
0,0.0,182400.0,3441.0,5.0,1584,36.0,1623.0,1
0,0.0,96700.0,773.0,1.0,968,36.0,123.0,1
0,0.0,151700.0,4070.0,5.0,1551,29.0,1739.0,1
7,0.0,177500.0,4155.0,5.0,767,30.0,93.0,0
0,0.0,179300.0,1873.0,2.0,1584,32.0,11862.0,1
0,0.0,193200.0,255.0,1.0,968,30.0,12419.0,1
0,0.0,162000.0,2581.0,2.0,835,33.0,5381.0,1
5,5.0,207300.0,1616.0,2.0,677,23.0,166.0,1
0,0.0,187200.0,2978.0,2.0,968,25.0,309.0,1
0,0.0,170000.0,2063.0,2.0,1059,36.0,8106.0,1
0,0.0,161600.0,4308.0,5.0,539,25.0,157.0,1
0,0.0,212400.0,1958.0,1.0,981,32.0,11743.0,1
0,0.0,182400.0,3441.0,5.0,1584,30.0,1300.0,1
0,0.0,191800.0,2473.0,4.0,789,31.0,5074.0,1
5,0.0,203900.0,2010.0,2.0,640,28.0,748.0,1
0,0.0,167200.0,3151.0,2.0,1584,34.0,1503.0,1
70,175.0,254100.0,3460.0,2.0,705,27.0,21659.0,0
0,0.0,156000.0,1219.0,2.0,817,24.0,451.0,1
0,0.0,191000.0,5080.0,5.0,817,27.0,2698.0,1
0,0.0,22400.0,636.0,5.0,1584,29.0,456.0,1
5,5.0,273400.0,2185.0,2.0,918,27.0,683.0,1
5,0.0,202100.0,3160.0,3.0,971,35.0,93.0,1
0,0.0,155000.0,2402.0,3.0,1059,27.0,7756.0,1
5,10.0,293000.0,2096.0,2.0,938,25.0,74.0,1
0,0.0,206300.0,2478.0,2.0,722,26.0,7185.0,1
0,0.0,15840.0,884.0,5.0,508,24.0,642.0,1
0,0.0,165400.0,3291.0,5.0,704,21.0,1419.0,1
0,0.0,174000.0,304.0,1.0,530,32.0,8662.0,1
0,0.0,173700.0,1893.0,2.0,855,26.0,10064.0,1
0,0.0,176300.0,2526.0,5.0,1551,24.0,1374.0,1
0,0.0,185000.0,2348.0,2.0,835,33.0,948.0,1
0,0.0,161600.0,4308.0,5.0,539,20.0,276.0,1
0,0.0,186300.0,2556.0,3.0,1551,23.0,846.0,1
0,0.0,161000.0,4153.0,5.0,835,32.0,675.0,1
0,0.0,153000.0,2243.0,2.0,817,27.0,213.0,1
35,95.0,203000.0,5852.0,5.0,835,34.0,10711.0,0
0,0.0,171400.0,3675.0,5.0,968,30.0,458.0,1
0,0.0,148100.0,2733.0,5.0,1551,35.0,799.0,1
0,0.0,9200.0,81.0,1.0,817,33.0,134.0,1
0,0.0,170800.0,2287.0,2.0,539,28.0,5254.0,1
0,0.0,213600.0,2878.0,2.0,1182,23.0,923.0,1
0,0.0,203000.0,369.0,1.0,817,25.0,14852.0,1
0,0.0,168400.0,1766.0,1.0,968,35.0,10110.0,1
0,0.0,184000.0,1303.0,1.0,621,28.0,8905.0,1
5,0.0,257200.0,1362.0,1.0,747,24.0,1047.0,1
0,0.0,185600.0,2703.0,2.0,741,34.0,208.0,1
25,80.0,126000.0,692.0,1.0,835,25.0,10673.0,0
0,0.0,164500.0,3187.0,2.0,719,32.0,1012.0,1
0,0.0,185600.0,2703.0,2.0,741,27.0,961.0,1
1,0.0,202200.0,1149.0,1.0,1551,31.0,13380.0,0
0,0.0,143200.0,4036.0,5.0,1551,28.0,1988.0,1
0,0.0,187200.0,2978.0,2.0,968,27.0,423.0,1
0,0.0,162300.0,2755.0,1.0,968,33.0,496.0,1
5,20.0,18600.0,1070.0,5.0,835,21.0,306.0,0
0,0.0,169000.0,2707.0,5.0,789,24.0,165.0,1
0,0.0,11500.0,3.0,1.0,1044,31.0,311.0,1
0,0.0,193800.0,3261.0,2.0,719,33.0,692.0,1
0,0.0,148400.0,2669.0,2.0,225,25.0,310.0,1
0,0.0,168400.0,1766.0,1.0,968,33.0,8724.0,1
0,0.0,169400.0,1405.0,2.0,981,36.0,10125.0,1
13,25.0,211000.0,4654.0,4.0,855,36.0,9342.0,0
0,0.0,171500.0,1785.0,1.0,1551,27.0,11252.0,1
0,0.0,190800.0,2062.0,2.0,767,31.0,11580.0,1
0,0.0,138300.0,2278.0,4.0,968,30.0,928.0,1
