points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,39.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,33.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,35.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,23.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,40.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,37.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,36.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,36.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,35.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,37.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,34.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,1655.0,1.0
